brand,followers,year,size_ml,price_per_ml,EDT,EDP,XDP,cluster
Akiko,30100,2019,50,3180.0,False,True,False,1
Aksen,1711,2023,100,2890.0,False,False,True,2
Alchemist,17800,2022,50,3980.0,False,True,False,1
Alien Objects,15700,2019,50,15000.0,False,True,False,3
ALT Perfumery,6528,2021,50,4580.0,False,True,False,1
Ara Scent,119,2023,30,4633.33,False,True,False,1
Aromes,15700,2022,50,5980.0,False,True,False,1
Arra,920,2021,30,3300.0,False,True,False,1
Art Derora,5063,2023,50,2980.0,False,False,True,1
Astree,1338,2023,50,6980.0,False,True,False,1
Ataraksia,8019,2021,55,6127.27,False,True,False,1
Ataraxia,1067,2023,50,2580.0,False,True,False,1
Avalanche,1305,2023,35,8542.86,False,False,True,1
avantglossy,1148,2021,30,3833.33,False,True,False,1
Avicenna,781,2022,100,2292.5,False,True,False,2
Azwary Perfume,432,2023,50,5000.0,False,True,False,1
Bali Surfer's Perfume,5463,2021,100,1999.99,False,True,False,2
Beure,3648,2023,50,2980.0,False,False,True,1
BFA Perfumery,1533,2022,50,3980.0,False,True,False,1
Black Friday,20700,2018,50,2224.0,False,True,False,1
Blondeurr Perfume Lab,4293,2023,50,3380.0,False,False,True,1
Bohe,25500,2023,35,4271.43,False,False,True,1
Bonavie,73800,2022,30,1163.33,False,True,False,1
Boura Perfumery,6896,2022,30,4770.0,False,True,False,1
Brishka,5008,2022,100,2000.0,False,True,False,2
Buttonscarves,39700,2021,85,7000.0,False,True,False,2
Byliv Perfume,324,2022,30,4000.0,False,True,False,1
Caliv Perfume,1027,2023,50,2780.0,False,True,False,1
Calluna Perfume,3600,2023,50,2580.0,False,True,False,1
CARESO,35700,2019,100,1690.0,True,False,False,2
Carl & Claire,67500,2020,30,9133.33,False,True,False,1
Cuddlenco,536,2023,30,2800.0,False,False,True,1
De Antoine,7862,2019,100,4200.0,False,False,True,2
de LUNAR Perfumery,11600,2022,50,3700.0,False,True,False,1
De.Claires,541000,2018,55,3363.64,False,True,False,0
Dewdrop Perfumery,1060,2023,50,1118.4,False,False,True,1
Diell,581,2024,50,5980.0,False,True,False,1
Douceur Perfume,3462,2019,50,2500.0,False,True,False,1
el'mntrx,685,2021,50,3700.0,False,True,False,1
Eliotte Parfums,3266,2023,30,4300.0,False,True,False,1
EONA,1932,2023,75,4386.67,False,True,False,2
Eser Perfumery,13100,2022,50,2900.0,False,True,False,1
Exxome,23000,2020,50,3380.0,False,True,False,1
Fabee Scents,1168,2023,35,2742.86,False,True,False,1
Fabron Fragrance,2197,2022,50,3400.0,False,True,False,1
Faivers,3319,2022,50,3402.0,False,True,False,1
Fakhrul Oud,7381,2020,50,17000.0,False,False,True,3
Fetch Fragrance,14300,2020,30,5096.67,False,True,False,1
Filosophia,2586,2021,50,3000.0,False,True,False,1
Fonce,17000,2022,50,3600.0,False,False,True,1
Fordive,35200,2020,100,2790.0,False,True,False,2
fou.,3976,2024,30,3600.0,False,True,False,1
Fuko,3279,2022,30,3163.33,False,True,False,1
Gean Parfume,700,2023,105,1419.05,False,True,False,2
Getwet,1019,2022,50,4980.0,False,True,False,1
Hausser,891,2022,50,19500.0,False,True,False,3
Histeory,17300,2021,50,3380.0,False,True,False,1
HMNS,306000,2019,100,3230.0,False,True,False,0
Honino,3273,2023,50,4400.0,False,True,False,1
House of Dappers,11200,2013,50,4700.0,False,True,False,1
House of Medici,13100,2020,50,7000.0,False,True,False,1
Huske Perfumery,366,2023,35,5400.0,False,True,False,1
Iniskin,12300,2020,30,3300.0,False,True,False,1
Joie the Lab,1761,2022,50,3300.0,False,True,False,1
Joylab,65700,2019,50,2580.0,True,False,False,1
Justin Paul,19900,2021,50,2200.0,False,True,False,1
Kahf,121000,2020,100,2327.5,False,True,False,2
Kitschy,64000,2021,50,5960.0,False,True,False,1
La'vourse,9,2023,35,4251.43,False,False,True,1
Labcitane,68000,2020,50,3700.0,False,False,True,1
LaNoesantara,1701,2023,50,1640.0,False,False,True,1
Layr Fragrance,13200,2023,50,4980.0,False,False,True,1
Leif Perfumery,1430,2024,35,3971.43,False,False,True,1
Lembrou,308,2023,50,3780.0,False,True,False,1
Leuseni,728,2022,50,19900.0,False,True,False,3
Likesunday Perfumery,245,2023,30,3266.67,False,True,False,1
Loco Scents,3132,2024,18,7288.89,False,True,False,1
Maison d' Ophelia,3399,2023,50,9500.0,False,True,False,1
Maison SONO,2115,2022,35,4828.57,False,True,False,1
Maison William Sicher,5012,2020,50,1076.0,False,True,False,1
Manzone,94400,2024,100,1499.0,False,True,False,2
Memoir Perfumery,316,2022,50,4580.0,False,True,False,1
Midl,259,2023,30,4166.67,False,True,False,1
Mine. Perfumery,63400,2021,50,7400.0,False,True,False,1
Minyeuk Pret,35100,2015,30,4166.67,False,True,False,1
Moen Perfume,3339,2023,50,5160.0,False,True,False,1
Monji Perfumery ,12600,2024,50,3760.0,False,True,False,1
Mother of Perfumery,316000,2022,45,9333.33,False,True,False,0
Multitude Scents,188,2023,50,7000.0,False,True,False,1
Mykonos,286000,2019,50,2380.0,False,True,False,0
Myth Fragrance,936,2022,50,2780.0,False,True,False,1
NAMXL,2255,2022,50,2786.0,False,True,False,1
Nevernot,1866,2022,35,4828.57,False,True,False,1
Next Door Neighbor,1275,2022,30,4633.33,False,True,False,1
Noir Perfume,978,2023,30,3096.67,False,True,False,1
Normal Estate,1913,2022,50,17780.0,False,True,False,3
Oaken Lab,14900,2018,50,15980.0,False,True,False,3
Oentuk: Indonesia,598,2023,50,4980.0,False,True,False,1
Olmorva,7004,2024,30,7470.0,False,True,False,1
Onix,124000,2019,50,3780.0,False,True,False,1
Onja,715,2023,50,3060.0,False,True,False,1
ORDZ,114,2022,50,2010.0,False,True,False,1
Orris,740,2021,50,2780.0,False,True,False,1
Orsar,2712,2024,80,9062.5,False,True,False,2
OUDS,6434,2020,35,4285.71,False,True,False,1
Oullu,18300,2020,50,7780.0,False,True,False,1
Pankova,1444,2023,30,5833.33,False,True,False,1
Peculiar,18500,2023,50,8800.0,False,True,False,1
Perfume Republic,1888,2021,100,2490.0,True,False,False,2
Pive Perfumery,140,2022,33,3787.88,False,True,False,1
Project 1945,7044,2021,100,2750.0,False,True,False,2
Readyset,51000,2021,35,4828.57,False,True,False,1
Remoir Perfumery,1896,2022,35,4542.86,False,True,False,1
Roha Fragrance,147,2024,50,4380.0,False,False,True,1
Rumah Atsiri,82500,2018,10,9500.0,False,True,False,1
S.TOI Fragrances,830,2023,50,4780.0,False,True,False,1
SAFF & Co.,54400,2020,30,7633.33,False,False,True,1
Saint Hars,7216,2020,30,8300.0,False,False,True,1
Saka,30900,2023,50,3980.0,False,True,False,1
Samaya Perfume,27200,2020,35,5400.0,False,True,False,1
Sanford Perfume,2980,2023,50,3920.0,False,True,False,1
Sansoe,10500,2020,50,7780.0,False,True,False,1
Santigi Perfume,167000,2019,30,3300.0,False,True,False,1
Scentalgia,3485,2023,50,3900.0,False,True,False,1
Scentderland Perfumery,1731,2022,50,3198.0,False,True,False,1
Scentdles,6128,2020,50,2800.0,False,True,False,1
Scentials,4297,2021,30,6633.33,False,True,False,1
Scents OF Pluto,17700,2023,50,4380.0,False,True,False,1
Scentworks & Co,3292,2020,105,1990.48,False,True,False,2
Sensori,188,2023,30,4966.67,False,True,False,1
Sighnil Perfume,1223,2023,30,5996.67,False,True,False,1
Skinouru,18100,2021,50,3984.0,False,True,False,1
SONAR Perfume,52300,2020,50,2980.0,False,True,False,1
Spill The Eau,3071,2022,30,4966.67,False,True,False,1
Tempt,437,2023,50,7780.0,False,True,False,1
terah,581,2022,40,7225.0,False,True,False,1
The Body Tale,5079,2022,50,3940.0,False,False,True,1
The Pleasure,1048,2021,50,3900.0,False,True,False,1
THISISME Scent,1514,2023,25,7160.0,False,True,False,1
Tonnolab,279,2023,35,3685.71,False,True,False,1
Twenty Four Scent,1605,2021,100,3190.0,False,True,False,2
UGLO,8460,2019,50,3980.0,False,True,False,1
Unke Naru,5712,2023,100,5890.0,False,True,False,2
Unspoken,696,2024,55,3618.18,False,True,False,1
Usual,9901,2020,100,2511.0,False,True,False,2
UTURN,3362,2022,50,3980.0,False,True,False,1
Vadaqo,2213,2020,50,2980.0,False,True,False,1
Value Perfume,1975,2022,50,3240.0,False,True,False,1
Verites,745,2023,50,3980.0,False,True,False,1
VNY Perfumery,530,2022,55,4527.27,False,True,False,1
VOIIJ.,8957,2021,50,3160.0,False,True,False,1
Vorbodi,1862,2023,30,5716.87,False,True,False,1
YN Perfumery,1540,2022,50,3980.0,False,True,False,1
Zior,15700,2020,35,4142.86,False,False,True,1
